what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1419752935197
java.runtime.version,sysinfo,,,"1.8.0_05-b13",1419752935197
java.specification.name,sysinfo,,,"Java Platform API Specification",1419752935197
java.specification.vendor,sysinfo,,,"Oracle Corporation",1419752935197
java.specification.version,sysinfo,,,"1.8",1419752935197
java.vendor,sysinfo,,,"Oracle Corporation",1419752935197
java.version,sysinfo,,,"1.8.0_05",1419752935197
java.vm.info,sysinfo,,,"mixed mode",1419752935197
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1419752935197
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1419752935197
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1419752935197
java.vm.specification.version,sysinfo,,,"1.8",1419752935197
java.vm.vendor,sysinfo,,,"Oracle Corporation",1419752935197
java.vm.version,sysinfo,,,"25.5-b02",1419752935197
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1419752935384
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1419752935540
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1419752935899
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1419752935899
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1419752935915
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1419752936336
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1419752936367
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1419752936383
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1419752937288
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1419752937615
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1419752937927
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1419752937958
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1419752939191
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1419752940673
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1419752940813
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1419752941203
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1419752941312
started,bundle,com.android.ide.eclipse.traceview,23.0.3.1327240,"com.android.ide.eclipse.traceview",1419752941578
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1419752941609
